# FileName; Centroid; currentDistance; finalDistance; NewNodesAdded; NewRelationsAdded 
Catarrh.txt; inflammation; NaN; NaN; 90; 461
Acne.txt; blockage; 5.837; 14.804; 717; 17358
LSC.txt; blockage; 0.0; 0.0; 41; 486
Syphilis.txt; medicine; 5.587; 29.466; 363; 7310
Type1Diabetes.txt; inflammation; 6.684; 23.218; 249; 6314
CysticFibrosis.txt; layer; 7.043; 19.016; 391; 9763
Migraine.txt; inflammation; 7.043; 19.016; 203; 7705
AuditoryProcessingDisorder.txt; medicine; 7.334; 23.218; 239; 6394
OccupationalBurnout.txt; inflammation; 7.454; 23.218; 113; 2602
SleepDisorder.txt; inflammation; 0.0; 0.0; 149; 4550
BoneTumor.txt; inflammation; 0.0; 0.0; 65; 992
HuntingtonsDisease.txt; inflammation; 0.0; 0.0; 323; 14020
Hypercholesterolemia.txt; inflammation; 0.0; 0.0; 86; 3159
KlinefelterSyndrome.txt; inflammation; 0.0; 0.0; 68; 2308
Stomatitis.txt; inflammation; 0.0; 0.0; 68; 1408
KidneyFailure.txt; source; 9.695; 22.499; 39; 3025
EarPain.txt; inflammation; 10.496; 22.499; 108; 3895
Rhinitis.txt; inflammation; 0.0; 0.0; 81; 1928
ParkinsonsDisease.txt; inflammation; 0.0; 0.0; 650; 12504
Dermatophytosis.txt; inflammation; 0.0; 0.0; 96; 1859
Shingles.txt; inflammation; 0.0; 0.0; 108; 4600
Pancreatitis.txt; mean; 12.995; 22.33; 58; 2268
Athlete'sFoot.txt; ear; 8.13; 13.518; 53; 2408
Alcoholism.txt; ear; 0.0; 0.0; 231; 10394
Influenza.txt; process; 7.583; 14.908; 208; 10889
Hemorrhoid.txt; process; 0.0; 0.0; 99; 3699
Rheumatism.txt; process; 0.0; 0.0; 24; 568
BirthDefects.txt; process; 0.0; 0.0; 199; 7346
Amnesia.txt; process; 0.0; 0.0; 104; 2200
SleepParalysis.txt; process; 0.0; 0.0; 118; 4676
MERS.txt; process; 0.0; 0.0; 130; 6570
Appendicitis.txt; process; 0.0; 0.0; 94; 3547
PepticUlcerDisease.txt; inflammation; 12.663; 17.665; 117; 4089
Meningoencephalitis.txt; inflammation; 0.0; 0.0; 38; 521
KidneyStoneDisease.txt; inflammation; 0.0; 0.0; 204; 7685
WhoopingCough.txt; inflammation; 0.0; 0.0; 64; 2344
Aphasia.txt; inflammation; 0.0; 0.0; 114; 4823
Stuttering.txt; inflammation; 0.0; 0.0; 214; 6402
YellowFever.txt; inflammation; 0.0; 0.0; 213; 6040
DiabeticNeuropathy.txt; inflammation; 0.0; 0.0; 50; 2331
Kleptomania.txt; inflammation; 0.0; 0.0; 71; 2013
Haemophilia.txt; inflammation; 0.0; 0.0; 96; 2729
Near-sightedness.txt; inflammation; 0.0; 0.0; 97; 4377
UrinaryIncontinence.txt; inflammation; 0.0; 0.0; 56; 2061
Hepatitis.txt; inflammation; 0.0; 0.0; 160; 14387
MRSA.txt; inflammation; 0.0; 0.0; 171; 7329
Sepsis.txt; inflammation; 0.0; 0.0; 112; 8814
Bronchitis.txt; inflammation; 0.0; 0.0; 18; 1587
PancreaticCancer.txt; inflammation; 0.0; 0.0; 121; 5481
BreastCancer.txt; inflammation; 0.0; 0.0; 156; 7429
Hyperglycemia.txt; inflammation; 0.0; 0.0; 19; 914
Osteoarthritis.txt; inflammation; 0.0; 0.0; 80; 5233
Dyslexia.txt; inflammation; 0.0; 0.0; 55; 4040
ChronicObstructivePulmonaryDisease.txt; inflammation; 0.0; 0.0; 104; 9113
Obesity.txt; inflammation; 0.0; 0.0; 146; 8331
Myocarditis.txt; inflammation; 0.0; 0.0; 45; 1829
Chickenpox.txt; inflammation; 0.0; 0.0; 27; 2449
IronDeficiency.txt; inflammation; 0.0; 0.0; 62; 2069
PulmonaryEmbolism.txt; inflammation; 0.0; 0.0; 76; 4014
RestlessLegsSyndrome.txt; inflammation; 0.0; 0.0; 71; 3052
Measles.txt; inflammation; 0.0; 0.0; 89; 5273
Dementia.txt; inflammation; 0.0; 0.0; 144; 5921
Jaundice.txt; inflammation; 0.0; 0.0; 43; 1761
Encephalitis.txt; inflammation; 0.0; 0.0; 19; 1031
GastroesophagealRefluxDisease.txt; inflammation; 0.0; 0.0; 44; 2826
SplenicInfarction.txt; inflammation; 0.0; 0.0; 6; 342
Malaria.txt; inflammation; 0.0; 0.0; 197; 11051
Smallpox.txt; inflammation; 0.0; 0.0; 519; 11283
Type2Diabetes.txt; inflammation; 0.0; 0.0; 28; 3221
SepticShock.txt; inflammation; 0.0; 0.0; 26; 1000
Hypotension.txt; inflammation; 0.0; 0.0; 22; 1034
PeripheralNeuropathy.txt; inflammation; 0.0; 0.0; 67; 3642
Lymphedema.txt; inflammation; 0.0; 0.0; 77; 2694
Osteoporosis.txt; inflammation; 0.0; 0.0; 94; 5901
ChronicKidneyDisease.txt; cell; 7.484; 13.015; 65; 3046
Anemia.txt; inflammation; 7.793; 13.015; 53; 2701
Cancer.txt; name; 12.709; 21.127; 342; 8029
Sinusitis.txt; name; 0.0; 0.0; 47; 2353
CommonCold.txt; inflammation; 12.846; 21.127; 29; 2660
AnxietyDisorder.txt; inflammation; 0.0; 0.0; 51; 3441
Water-relatedDiseases.txt; inflammation; 0.0; 0.0; 48; 2871
Labyrinthitis.txt; inflammation; 0.0; 0.0; 4; 549
TBI.txt; inflammation; 0.0; 0.0; 89; 10248
Hyperpigmentation.txt; inflammation; 0.0; 0.0; 15; 487
OvarianCancer.txt; inflammation; 0.0; 0.0; 172; 7626
HeartDisease.txt; inflammation; 0.0; 0.0; 69; 4950
Scoliosis.txt; inflammation; 0.0; 0.0; 58; 2864
LactoseIntolerance.txt; inflammation; 0.0; 0.0; 47; 3774
Epilepsy.txt; inflammation; 0.0; 0.0; 89; 6239
BackPain.txt; inflammation; 0.0; 0.0; 24; 1934
Gastritis.txt; inflammation; 0.0; 0.0; 22; 1171
Hives.txt; inflammation; 0.0; 0.0; 53; 1655
Schizophrenia.txt; inflammation; 0.0; 0.0; 91; 6946
Autism.txt; inflammation; 0.0; 0.0; 104; 9300
STD.txt; inflammation; 0.0; 0.0; 64; 2986
Atherosclerosis.txt; inflammation; 0.0; 0.0; 73; 3386
AlcoholicLiverDisease.txt; inflammation; 0.0; 0.0; 30; 1258
SpeechDisorder.txt; inflammation; 0.0; 0.0; 9; 393
Guillain–BarreSyndrome.txt; inflammation; 0.0; 0.0; 51; 4030
NummularDermatitis.txt; inflammation; 0.0; 0.0; 6; 199
Diphtheria.txt; inflammation; 0.0; 0.0; 69; 1833
MajorDepressiveDisorder.txt; inflammation; 0.0; 0.0; 118; 9962
Hepatomegaly.txt; inflammation; 0.0; 0.0; 6; 320
AtopicDermatitis.txt; inflammation; 0.0; 0.0; 19; 2137
ProstateCancer.txt; inflammation; 0.0; 0.0; 82; 4783
Constipation.txt; inflammation; 0.0; 0.0; 29; 1920
PeriodontalDisease.txt; inflammation; 0.0; 0.0; 68; 2575
AlzheimersDisease.txt; inflammation; 0.0; 0.0; 99; 7494
Endocarditis.txt; inflammation; 0.0; 0.0; 8; 425
ADHD.txt; inflammation; 0.0; 0.0; 64; 6614
Hypertension.txt; inflammation; 0.0; 0.0; 55; 5249
Meningitis.txt; inflammation; 0.0; 0.0; 58; 5101
Polio.txt; inflammation; 0.0; 0.0; 68; 6122
HeartFailure.txt; inflammation; 0.0; 0.0; 71; 5229
WhiteCoatHypertension.txt; inflammation; 0.0; 0.0; 5; 427
MultipleSclerosis.txt; inflammation; 0.0; 0.0; 88; 7203
Leukemia.txt; inflammation; 0.0; 0.0; 56; 2128
Rabies.txt; inflammation; 0.0; 0.0; 87; 3741
TouretteSyndrome.txt; inflammation; 0.0; 0.0; 95; 7361
AllergicRhinitis.txt; inflammation; 0.0; 0.0; 39; 1652
Ebola.txt; inflammation; 0.0; 0.0; 136; 9580
Keratoconus.txt; inflammation; 0.0; 0.0; 74; 4101
Stroke.txt; inflammation; 0.0; 0.0; 72; 6332
OtitisMedia.txt; inflammation; 0.0; 0.0; 26; 2183
Rubella.txt; inflammation; 0.0; 0.0; 24; 1251
Pleurisy.txt; inflammation; 0.0; 0.0; 14; 1021
Psychosis.txt; inflammation; 0.0; 0.0; 95; 5365
ThyroidDisease.txt; inflammation; 0.0; 0.0; 41; 2127
SystemicLupusErythematosus.txt; inflammation; 0.0; 0.0; 97; 4175
ChronicFatigueSyndrome.txt; inflammation; 0.0; 0.0; 55; 4680
HairLoss.txt; inflammation; 0.0; 0.0; 117; 1553
TesticularCancer.txt; inflammation; 0.0; 0.0; 32; 2024
KidneyCancer.txt; inflammation; 0.0; 0.0; 39; 998
Chlamydia.txt; inflammation; 0.0; 0.0; 24; 1399
Vertigo.txt; inflammation; 0.0; 0.0; 31; 2028
SkinCancer.txt; inflammation; 0.0; 0.0; 42; 1845
GestationalDiabetes.txt; inflammation; 0.0; 0.0; 28; 2623
Scabies.txt; inflammation; 0.0; 0.0; 52; 2832
Toothache.txt; inflammation; 0.0; 0.0; 147; 7277
Cellulitis.txt; inflammation; 0.0; 0.0; 24; 1261
Trichomoniasis.txt; inflammation; 0.0; 0.0; 12; 564
OCD.txt; inflammation; 0.0; 0.0; 119; 5022
LiverCancer.txt; inflammation; 0.0; 0.0; 29; 1475
UlcerativeColitis.txt; inflammation; 0.0; 0.0; 61; 3634
Strongyloidiasis.txt; inflammation; 0.0; 0.0; 30; 1394
ZikaVirus.txt; inflammation; 0.0; 0.0; 47; 3507
HIVAIDS.txt; inflammation; 0.0; 0.0; 125; 10189
Asthma.txt; inflammation; 0.0; 0.0; 57; 6204
Lesch–NyhanSyndrome.txt; inflammation; 0.0; 0.0; 53; 1525
ToothDecay.txt; inflammation; 0.0; 0.0; 86; 6325
Pericarditis.txt; inflammation; 0.0; 0.0; 18; 993
Onychomycosis.txt; inflammation; 0.0; 0.0; 18; 1305
KidneyDisease.txt; inflammation; 0.0; 0.0; 18; 610
NarcissisticPersonalityDisorder.txt; inflammation; 0.0; 0.0; 80; 3033
HumanPapillomavirusInfection.txt; inflammation; 0.0; 0.0; 87; 3912
CoronaryArteryDisease.txt; inflammation; 0.0; 0.0; 31; 2262
Gonorrhea.txt; inflammation; 0.0; 0.0; 39; 1515
BlackDeath.txt; inflammation; 0.0; 0.0; 154; 5925
Osteosarcoma.txt; inflammation; 0.0; 0.0; 24; 1082
BipolarDisorder.txt; inflammation; 0.0; 0.0; 117; 7111
Mumps.txt; inflammation; 0.0; 0.0; 15; 1151
CerebralPalsy.txt; inflammation; 0.0; 0.0; 147; 9954
Roseola.txt; inflammation; 0.0; 0.0; 31; 3031
ErectileDysfunction.txt; inflammation; 0.0; 0.0; 45; 1869
Hypoglycemia.txt; inflammation; 0.0; 0.0; 31; 2559
Giardiasis.txt; inflammation; 0.0; 0.0; 26; 1385
Thalassemia.txt; inflammation; 0.0; 0.0; 32; 1100
Wart.txt; inflammation; 0.0; 0.0; 35; 1183
Glaucoma.txt; inflammation; 0.0; 0.0; 99; 3674
Sunburn.txt; inflammation; 0.0; 0.0; 34; 1716
AspergerSyndrome.txt; inflammation; 0.0; 0.0; 81; 5438
Insomnia.txt; inflammation; 0.0; 0.0; 57; 3557
VenousUlcer.txt; inflammation; 0.0; 0.0; 19; 1693
PityriasisRosea.txt; inflammation; 0.0; 0.0; 10; 604
Far-sightedness.txt; inflammation; 0.0; 0.0; 8; 418
MyocardialInfarction.txt; inflammation; 0.0; 0.0; 49; 5884
ScarletFever.txt; inflammation; 0.0; 0.0; 56; 2072
FoodborneIllness.txt; inflammation; 0.0; 0.0; 106; 4898
Tinnitus.txt; ear; 12.016; 12.15; 37; 2663
PharyngitisSoreThroat.txt; ear; 0.0; 0.0; 8; 525
LungCancer.txt; ear; 0.0; 0.0; 72; 4619
Tetanus.txt; ear; 0.0; 0.0; 26; 1701
Cataract.txt; ear; 0.0; 0.0; 44; 2563
RepetitiveStrainInjury.txt; ear; 0.0; 0.0; 30; 1597
Thrombosis.txt; ear; 0.0; 0.0; 27; 2601
HerpesSimplex.txt; ear; 0.0; 0.0; 44; 2588
GastrointestinalCancer.txt; ear; 0.0; 0.0; 13; 804
Dermatitis.txt; ear; 0.0; 0.0; 24; 1411
Arthritis.txt; ear; 0.0; 0.0; 16; 1323
AmyotrophicLateralSclerosis.txt; ear; 0.0; 0.0; 99; 8036
Hyperhidrosis.txt; ear; 0.0; 0.0; 26; 1218
Non-alcoholicFattyLiverDisease.txt; ear; 0.0; 0.0; 39; 3251
Salmonella.txt; ear; 0.0; 0.0; 65; 2527
Tay–SachsDisease.txt; ear; 0.0; 0.0; 49; 1984
Tracheitis.txt; ear; 0.0; 0.0; 4; 208
Narcolepsy.txt; ear; 0.0; 0.0; 48; 2325
Overweight.txt; ear; 0.0; 0.0; 11; 507
Diabetes.txt; ear; 0.0; 0.0; 33; 2411
Rosacea.txt; ear; 0.0; 0.0; 56; 820
Tuberculosis.txt; ear; 0.0; 0.0; 84; 5756
Phenylketonuria.txt; ear; 0.0; 0.0; 61; 2499
BrainTumor.txt; ear; 0.0; 0.0; 58; 2747
Microcephaly.txt; ear; 0.0; 0.0; 42; 1041
